input,labels,input_len,preprocessed
They say that they are attracted by the inorganic beauty of industrially - shaped architecture .,1,16,They say that they are attracted by the inorganic beauty of industrially - shaped architecture .
"Suddenly , the airplane broke down and crashed into the mountain .",1,12,"Suddenly , the airplane broke down and crashed into the mountain ."
Many people DON ' T THINK SO .,1,8,Many people DON ' T THINK SO .
Learning English has always been in the top list .,0,10,Learning English ha always been in the top list .
"Today , I got some e - mails which inform me of someone who wants me to approve a friend - link .",1,23,"Today , I got some e - mail which inform me of someone who want me to approve a friend - link ."
My name is Klaudia .,1,5,My name is Klaudia .
"So solving the problem quickly is highly recommended , if not , it would be uncontrollable .",1,17,"So solving the problem quickly is highly recommended , if not , it would be uncontrollable ."
I am looking for peolple who can teach me English .,0,11,I am looking for peolple who can teach me English .
"When I was at the computer , I suddenly heard some furious growling and howling at the same time .",0,20,"When I wa at the computer , I suddenly heard some furious growling and howling at the same time ."
Hello everyone !,1,3,Hello everyone !
I have been so busy through December because of year - end parties .,0,14,I have been so busy through December because of year - end party .
That was amazing !,1,4,That wa amazing !
"My sister - in - law said , Never count the number of stones of Stonehenge .",1,17,"My sister - in - law said , Never count the number of stone of Stonehenge ."
"He always tell us that it is important for us to do PDCA that means Plan , Do , Check , Action .",0,23,"He always tell u that it is important for u to do PDCA that mean Plan , Do , Check , Action ."
This news reminded me of a word ' melt - down ' .,0,13,This news reminded me of a word ' melt - down ' .
"As high as meters , the tsunami crashed into ships and cars near the shore , ",1,17,"As high a meter , the tsunami crashed into ship and car near the shore , "
We took a train for get Suzhou from beijing .,0,10,We took a train for get Suzhou from beijing .
I would tried to hide my true feelings since I was a little because I knew my thought was kind of unique and it was hard for them to accept it .,0,32,I would tried to hide my true feeling since I wa a little because I knew my thought wa kind of unique and it wa hard for them to accept it .
I want to buy a new dress for summer .,0,10,I want to buy a new dress for summer .
"Importing data , backup data , tuning and maintaining the DBMS .",1,12,"Importing data , backup data , tuning and maintaining the DBMS ."
I exchanged the old rubber stopper for a new one .,1,11,I exchanged the old rubber stopper for a new one .
Girls soccer,0,2,Girls soccer
Most of skier or snowboarder knows that we have hardly opportunities to snowboard on great poeder snow in the season .,0,21,Most of skier or snowboarder know that we have hardly opportunity to snowboard on great poeder snow in the season .
 ERROR Unacceptable characters are used .,1,7, ERROR Unacceptable character are used .
Tomorrow I will have breakfast with the kids in my classroom .,1,12,Tomorrow I will have breakfast with the kid in my classroom .
"In summer , It was very hot day everyday .",0,10,"In summer , It wa very hot day everyday ."
But the colour of grass was changed from green to brown recently .,0,13,But the colour of grass wa changed from green to brown recently .
Then we came back home and I started to do skipping which I do everyday for my boxing practice .,0,20,Then we came back home and I started to do skipping which I do everyday for my boxing practice .
" It is very comfortable to work , but I sometimes feel tired and bored .",1,16," It is very comfortable to work , but I sometimes feel tired and bored ."
I learn English conversation by e - learning .,1,9,I learn English conversation by e - learning .
"My winter vacation is very hard , but I really enjoy my holiday !",1,14,"My winter vacation is very hard , but I really enjoy my holiday !"
"That is why you have to think twice to buy a computer or a mobile phone your child or not , because it definitely will cause troubles to his health .",0,31,"That is why you have to think twice to buy a computer or a mobile phone your child or not , because it definitely will cause trouble to his health ."
Oh it is time to bed ! !,0,8,Oh it is time to bed ! !
She is writing her diary right now .,1,8,She is writing her diary right now .
I have been learning English since I was - years - old,1,12,I have been learning English since I wa - year - old
